genes	stage	type
SOX10	NC	old
NGFR	NC	old
TFAP2A	day14	old
HNK1	day14	old
EGR2	day14	old
ERBB3	day30	old
CDH19	day7	old
ITGA4	day7	old
GAP43	day7	old
PLP1	day30	old
PMP22	day30	old
MPZ	day7	old
S100B	day30	old
DAG1	day30	old
NR2F1	NC	new
PRELP	NC	new
RXRG	NC	new
NR2F2	NC	new
SSUH2	NC	new
GFRA1	NC	new
PEG10	NC	new
SCD	NC	new
RCAN1	day7	new
RASSF4	day7	new
SYNM	day7	new
USP3	day7	new
EHBP1	day7	new
CPTL1	day7	new
PRSS23	day14	new
XKR4	day30	new
ABCA8	day30	new
PMEPA1	day30	new
MIA	day30	new
CCL2	day30	new
ITGB8	day30	new
GFRA3	day30	new
FXYD3	day30	new
ENDOD1	day30	new
MEF2C	day30	new
GAS7	day30	new
SCN9A	day30	new
TMEM47	day30	new
PDLIM61	day30	new
WIPF1	day30	new
LGI4	day30	new
FXYD1	day30	new
S100A16	day30	new
ITGA6	day30	new
SIPAIL2	day30	new
HMG20B	day30	new
EMP2	day30	new
PPP1R12B	day30	new
